"STATION","NAME","DATE","ACSH","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-04-28",,,,"0.00","0.0",,"91","56",,"    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-04-29",,,,"0.00","0.0",,"91","58",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-04-30",,,,"0.00","0.0",,"91","66",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-01",,,,"0.00","0.0",,"97","70",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-02",,,,"0.00","0.0",,"93","69",,"    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-03",,,,"0.00","0.0",,"95","73",,"    1",,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-04",,,,"0.00","0.0",,"89","66",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-05",,,,"0.00","0.0",,"94","71",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-06",,,,"0.20","0.0",,"82","57",,,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-07",,,,"0.00","0.0",,"84","52",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-05-08",,,,"0.00","0.0",,"91","64",,,,,,,,,,,,,,,,,,,,,
