"STATION","NAME","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT16","WT17","WT18","WT19"
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-08-31","3.13","0.01",,"85","92","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-01","4.70","0.00",,"84","93","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-02","3.80","0.00",,"84","94","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-03","3.58","0.00",,"84","95","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-04","2.91","0.00",,"85","96","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-05","4.03","0.00",,"82","91","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-06","4.25","0.00",,"83","92","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-07","5.37","0.00",,"83","92","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-08","8.05","0.00",,"83","91","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-09","10.07","0.00",,"85","94","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-10","14.32","0.02",,"77","81","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-11","12.97","1.35",,"76","78","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-12","6.93","0.22",,"77","80","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-13","4.92","0.00",,"81","89","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-14","4.92","0.00",,"82","85","78",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-15","6.49","0.24",,"84","90","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-16","7.83","1.18",,"77","78","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-17","7.61","0.00",,"80","84","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-18","4.70","0.00",,"83","90","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-19","2.91","0.00",,"82","90","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-20","3.36","0.00",,"82","91","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-21","4.25","0.00",,"83","91","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-22","3.58","0.00",,"85","92","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-23","4.92","0.02",,"84","92","75",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-24","4.25","0.00",,"83","91","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-25","4.47","0.00",,"81","89","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-26","5.37","0.00",,"83","90","76",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-27","2.01","0.00",,"82","90","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-28","1.34","0.00",,"84","94","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-29","1.57","0.00",,"84","94","74",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-09-30","4.47","0.00",,"83","93","73",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-10-01","6.49","0.00",,"82","92","72",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-10-02","9.62","0.00",,"84","90","77",,,,,,,,,,,,,,,
"USW00012970","SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US","1998-10-03","10.74","0.00",,"85","94","76",,,,,,,,,,,,,,,
